,S No.,Date,App Name,Usage (in Seconds),Launch Count,is Monitoring,is SystemApp,Package Name
223,224,2022/07/18,Rapido,25,2,Yes,No,com.rapido.passenger
224,225,2022/07/15,Android System Intelligence,18,1,No,Yes,com.google.android.as
225,226,2022/07/17,Rapido,1,1,Yes,No,com.rapido.passenger
226,227,2022/07/19,Call,3318,23,Yes,No,com.samsung.android.incallui
227,228,2022/07/16,Rapido,1235,24,Yes,No,com.rapido.passenger
228,229,2022/07/15,Call,378,16,Yes,No,com.samsung.android.incallui
229,230,2022/07/16,Call,4017,31,Yes,No,com.samsung.android.incallui
230,231,2022/07/15,Rapido,96,2,Yes,No,com.rapido.passenger
231,232,2022/07/19,Android System Intelligence,15,1,No,Yes,com.google.android.as
232,233,2022/07/21,Google Play Store,73,3,Yes,No,com.android.vending
233,234,2022/07/21,AccuBattery,57,2,Yes,No,com.digibites.accubattery
234,235,2022/07/21,Phone,44,5,Yes,No,com.samsung.android.dialer
235,236,2022/07/20,Phone,37,8,Yes,No,com.samsung.android.dialer
236,237,2022/07/18,Uber,119,3,Yes,No,com.ubercab
237,238,2022/07/15,Uber,69,1,Yes,No,com.ubercab
238,239,2022/07/16,Uber,58,1,Yes,No,com.ubercab
239,240,2022/07/19,Phone,174,20,Yes,No,com.samsung.android.dialer
240,241,2022/07/16,Phone,228,31,Yes,No,com.samsung.android.dialer
241,242,2022/07/15,Phone,37,3,Yes,No,com.samsung.android.dialer
242,243,2022/07/15,Device care,131,4,Yes,No,com.samsung.android.lool
243,244,2022/07/18,Phone,148,16,Yes,No,com.samsung.android.dialer
244,245,2022/07/17,Phone,10,5,Yes,No,com.samsung.android.dialer
245,246,2022/07/18,Google Play Store,36,2,Yes,No,com.android.vending
246,247,2022/07/20,Call,147,12,Yes,No,com.samsung.android.incallui
247,248,2022/07/17,Google Play Store,84,4,Yes,No,com.android.vending
248,249,2022/07/21,Call,2425,9,Yes,No,com.samsung.android.incallui
249,250,2022/07/15,Google Play Store,269,9,Yes,No,com.android.vending
250,251,2022/07/04,freeCode Camp,44,1,Yes,No,org.freecodecamp
251,252,2022/07/02,MTP application,9,2,No,Yes,com.samsung.android.mtp
252,253,2022/07/03,Photos,4,1,Yes,No,com.google.android.apps.photos
253,254,2022/07/02,Gmail,123,8,Yes,No,com.google.android.gm
254,255,2022/07/04,Gmail,13,3,Yes,No,com.google.android.gm
255,256,2022/07/02,Device care,237,10,Yes,No,com.samsung.android.lool
256,257,2022/07/02,Recommended apps,31,1,No,Yes,com.samsung.android.app.omcagent
257,258,2022/07/04,Device care,50,1,Yes,No,com.samsung.android.lool
258,259,2022/07/02,Smart Widget,0,1,No,Yes,com.samsung.android.app.smartwidget
259,260,2022/07/03,Link to Windows Service,0,2,No,Yes,com.samsung.android.mdx
260,261,2022/07/03,Device care,118,2,Yes,No,com.samsung.android.lool
261,262,2022/07/04,Google Play Store,576,16,Yes,No,com.android.vending
262,263,2022/07/02,Photos,56,6,Yes,No,com.google.android.apps.photos
263,264,2022/07/03,Google Play Store,56,4,Yes,No,com.android.vending
264,265,2022/07/02,Samsung setup wizard,112,26,No,Yes,com.sec.android.app.SecSetupWizard
265,266,2022/07/02,Google Play Store,564,25,Yes,No,com.android.vending
266,267,2022/07/03,Telegram,1068,26,Yes,No,org.telegram.messenger
267,268,2022/07/04,Call settings,12,1,No,Yes,com.samsung.android.app.telephonyui
268,269,2022/07/04,Telegram,907,22,Yes,No,org.telegram.messenger
269,270,2022/07/02,Call settings,12,3,No,Yes,com.samsung.android.app.telephonyui
270,271,2022/07/02,Telegram,62,6,Yes,No,org.telegram.messenger
271,272,2022/07/03,Call settings,14,1,No,Yes,com.samsung.android.app.telephonyui
272,273,2022/07/02,Call,4,1,Yes,No,com.samsung.android.incallui
273,274,2022/07/04,Call,199,8,Yes,No,com.samsung.android.incallui
274,275,2022/07/02,Wallpaper services,38,3,No,Yes,com.samsung.android.dynamiclock
275,276,2022/07/02,Samsung Keyboard,3,1,No,Yes,com.samsung.android.honeyboard
276,277,2022/07/04,Gboard,38,3,Yes,No,com.google.android.inputmethod.latin
277,278,2022/07/02,Software update,26,1,No,Yes,com.wssyncmldm
278,279,2022/07/02,Gboard,62,3,Yes,No,com.google.android.inputmethod.latin
279,280,2022/07/03,Wallpaper services,54,2,No,Yes,com.samsung.android.dynamiclock
280,281,2022/07/02,Permission controller,79,23,No,Yes,com.google.android.permissioncontroller
281,282,2022/07/04,Permission controller,5,6,No,Yes,com.google.android.permissioncontroller
282,283,2022/07/03,Permission controller,6,3,No,Yes,com.google.android.permissioncontroller
283,284,2022/07/02,Android Setup,82,28,No,Yes,com.google.android.setupwizard
284,285,2022/07/02,AlwaysOnDisplay,78,10,No,Yes,com.samsung.android.app.aodservice
285,286,2022/07/02,Apps,59,2,No,Yes,com.samsung.android.app.appsedge
286,287,2022/07/04,Apps,97,2,No,Yes,com.samsung.android.app.appsedge
287,288,2022/07/03,AR Emoji,66,2,No,Yes,com.samsung.android.aremoji
288,289,2022/07/03,Battery Tracker (Uninstalled),21,1,Yes,No,com.android.samsung.batteryusage
289,290,2022/07/02,Settings,1978,157,Yes,No,com.android.settings
290,291,2022/07/03,Settings,278,25,Yes,No,com.android.settings
291,292,2022/07/04,Settings,68,15,Yes,No,com.android.settings
292,293,2022/07/04,One UI Home,1154,160,No,Yes,com.sec.android.app.launcher
293,294,2022/07/02,Adapt sound,39,3,No,Yes,com.sec.hearingadjust
294,295,2022/07/03,One UI Home,611,101,No,Yes,com.sec.android.app.launcher
295,296,2022/07/02,YouTube,23,3,No,Yes,com.google.android.youtube
296,297,2022/07/02,Bixby Routines,2,1,No,Yes,com.samsung.android.app.routines
297,298,2022/07/02,Settings Suggestions,220,32,No,Yes,com.android.settings.intelligence
298,299,2022/07/03,Google Play services,7,2,No,Yes,com.google.android.gms
299,300,2022/07/04,Google Play services,14,6,No,Yes,com.google.android.gms
300,301,2022/07/02,Samsung Pass,7,1,Yes,No,com.samsung.android.samsungpass
301,302,2022/07/02,Clock,74,2,Yes,No,com.sec.android.app.clockpackage
302,303,2022/07/04,Notion,31,4,Yes,No,notion.id
303,304,2022/07/02,One UI Home,1838,199,No,Yes,com.sec.android.app.launcher
304,305,2022/07/02,SecSoundPicker,79,3,No,Yes,com.samsung.android.secsoundpicker
305,306,2022/07/02,Separate app sound,26,1,No,Yes,com.samsung.android.setting.multisound
306,307,2022/07/04,The Hindu,137,4,Yes,No,com.mobstac.thehindu
307,308,2022/07/04,Clock,17,2,Yes,No,com.sec.android.app.clockpackage
308,309,2022/07/02,com.samsung.android.biometrics.app.setting,72,2,No,Yes,com.samsung.android.biometrics.app.setting
309,310,2022/07/04,WhatsApp,634,14,Yes,No,com.whatsapp
310,311,2022/07/03,WhatsApp,7052,31,Yes,No,com.whatsapp
311,312,2022/07/04,Settings Suggestions,18,6,No,Yes,com.android.settings.intelligence
312,313,2022/07/02,WhatsApp,455,19,Yes,No,com.whatsapp
313,314,2022/07/03,Settings Suggestions,30,6,No,Yes,com.android.settings.intelligence
314,315,2022/07/03,com.samsung.android.biometrics.app.setting,85,2,No,Yes,com.samsung.android.biometrics.app.setting
315,316,2022/07/02,Xodo Docs,1802,19,Yes,No,com.xodo.pdf.reader
316,317,2022/07/02,Vanced Manager,182,4,Yes,No,com.vanced.manager
317,318,2022/07/04,PrepLadder,21804,40,Yes,No,com.prepladder.learningapp
318,319,2022/07/02,PrepLadder,1328,13,Yes,No,com.prepladder.learningapp
319,320,2022/07/03,Xodo Docs,614,16,Yes,No,com.xodo.pdf.reader
320,321,2022/07/03,My Files,107,6,Yes,No,com.sec.android.app.myfiles
321,322,2022/07/02,Google Play services,201,22,No,Yes,com.google.android.gms
322,323,2022/07/03,PrepLadder,16,7,Yes,No,com.prepladder.learningapp
323,324,2022/07/04,Xodo Docs,1848,6,Yes,No,com.xodo.pdf.reader
324,325,2022/07/04,Vanced microG,23,2,No,Yes,com.mgoogle.android.gms
325,326,2022/07/04,Finder,24,4,Yes,No,com.samsung.android.app.galaxyfinder
326,327,2022/07/02,Finder,52,11,Yes,No,com.samsung.android.app.galaxyfinder
327,328,2022/07/03,Finder,6,2,Yes,No,com.samsung.android.app.galaxyfinder
328,329,2022/07/04,YouTube Music,28,2,Yes,No,com.vanced.android.apps.youtube.music
329,330,2022/07/02,Find My Mobile,42,4,No,Yes,com.samsung.android.fmm
330,331,2022/07/02,OneDrive,0,1,Yes,No,com.microsoft.skydrive
331,332,2022/07/03,Android System,7,2,No,Yes,android
332,333,2022/07/02,Android System,19,5,No,Yes,android
333,334,2022/07/02,Samsung account,252,12,No,Yes,com.osp.app.signin
334,335,2022/07/04,Android System,1,2,No,Yes,android
335,336,2022/07/04,Samsung account,3,1,No,Yes,com.osp.app.signin
336,337,2022/07/04,Samsung Notes,158,1,Yes,No,com.samsung.android.app.notes
337,338,2022/07/03,Samsung account,3,1,No,Yes,com.osp.app.signin
338,339,2022/07/02,Samsung Notes,48,6,Yes,No,com.samsung.android.app.notes
339,340,2022/07/03,NotiStar (Uninstalled),20,3,No,Yes,com.samsung.systemui.notilus
340,341,2022/07/04,Samsung capture,128,4,No,Yes,com.samsung.android.app.smartcapture
341,342,2022/07/02,Smart View,43,2,No,Yes,com.samsung.android.smartmirroring
342,343,2022/07/03,Samsung capture,9,1,No,Yes,com.samsung.android.app.smartcapture
343,344,2022/07/02,Samsung capture,54,3,No,Yes,com.samsung.android.app.smartcapture
344,345,2022/07/03,Contacts,49,3,Yes,No,com.samsung.android.app.contacts
345,346,2022/07/04,Contacts,13,2,Yes,No,com.samsung.android.app.contacts
346,347,2022/07/03,Pikashow,1294,3,Yes,No,com.offshore.pikachu
347,348,2022/07/02,Contacts,24,3,Yes,No,com.samsung.android.app.contacts
348,349,2022/07/04,Pikashow,316,9,Yes,No,com.offshore.pikachu
349,350,2022/07/02,Data restore tool,32,4,No,Yes,com.google.android.apps.restore
350,351,2022/07/04,Phone,84,7,Yes,No,com.samsung.android.dialer
351,352,2022/07/02,Tags,5,2,No,Yes,com.samsung.android.service.tagservice
352,353,2022/07/02,YouTube Vanced,21,1,Yes,No,com.vanced.android.youtube
353,354,2022/07/03,Samsung DeX,4,1,No,Yes,com.sec.android.desktopmode.uiservice
354,355,2022/07/02,Samsung DeX,141,7,No,Yes,com.sec.android.desktopmode.uiservice
355,356,2022/07/02,Secure Folder,32,4,Yes,No,com.samsung.knox.securefolder
356,357,2022/07/03,Phone,3,1,Yes,No,com.samsung.android.dialer
357,358,2022/07/02,Phone,5,3,Yes,No,com.samsung.android.dialer
358,359,2022/07/02,Pikashow,2792,17,Yes,No,com.offshore.pikachu
359,360,2022/07/04,YouTube Vanced,8459,18,Yes,No,com.vanced.android.youtube
360,361,2022/07/03,YouTube Vanced,334,3,Yes,No,com.vanced.android.youtube
